LOCATION_TYPE;LOCATION_ID;POST_CODE;CITY;X_COORD;Y_COORD;QUANTITY;TRAIN_POSSIBLE;SERVICE_TIME [s]
DEPOT;D1;0;Baunatal;9.44249;51.25000;0;1;0
SWAP_LOCATION;S0;0;Schkopau;11.98714;51.39278;0;1;0
SWAP_LOCATION;S1;0;PENIG;12.69368;50.93191;0;1;0
SWAP_LOCATION;S10;0;Niederwürschnitz;12.76246;50.72486;0;1;0
SWAP_LOCATION;S100;0;Olbernhau;13.35072;50.65321;0;1;0
SWAP_LOCATION;S101;0;LEIPZIG;12.38583;51.29625;0;1;0
SWAP_LOCATION;S11;0;Oelsnitz;12.18104;50.42989;0;1;0
SWAP_LOCATION;S12;0;Hermsdorf;11.84631;50.89485;0;1;0
SWAP_LOCATION;S13;0;Leipzig;12.43238;51.36567;0;1;0
SWAP_LOCATION;S14;0;Werdau OT Leubnitz;12.36599;50.72232;0;1;0
SWAP_LOCATION;S15;0;Arnstadt;10.94866;50.85378;0;1;0
SWAP_LOCATION;S16;0;Wolfen;12.26342;51.65197;0;1;0
SWAP_LOCATION;S17;0;Bernburg;11.76200;51.79912;0;1;0
SWAP_LOCATION;S18;0;Böhlen;12.38003;51.19303;0;1;0
SWAP_LOCATION;S19;0;Eisfeld;10.90247;50.41750;0;1;0
SWAP_LOCATION;S2;0;Böhlen;12.35649;51.18861;0;1;0
SWAP_LOCATION;S20;0;Zella-Mehlis;10.66666;50.65026;0;1;0
SWAP_LOCATION;S21;0;Werther;10.74039;51.48036;0;1;0
SWAP_LOCATION;S22;0;Wittenberg;12.61000;51.87431;0;1;0
SWAP_LOCATION;S23;0;Wiersdorf;10.94969;52.80710;0;1;0
SWAP_LOCATION;S24;0;Gera;12.13115;50.88292;0;1;0
SWAP_LOCATION;S25;0;Oldisleben;11.17568;51.30881;0;1;0
SWAP_LOCATION;S26;0;Chemnitz;12.91999;50.85401;0;1;0
SWAP_LOCATION;S27;0;SCHNEEBERG;12.61957;50.57693;0;1;0
SWAP_LOCATION;S28;0;Gelenau;12.99560;50.71146;0;1;0
SWAP_LOCATION;S29;0;Jena;11.57007;50.91960;0;1;0
SWAP_LOCATION;S3;0;Wermsdorf;12.93942;51.28302;0;1;0
SWAP_LOCATION;S30;0;Naumburg;11.82254;51.15780;0;1;0
SWAP_LOCATION;S31;0;Zeitz-Tröglitz;12.19358;51.06884;0;1;0
SWAP_LOCATION;S32;0;Gardelegen;11.40269;52.54387;0;1;0
SWAP_LOCATION;S33;0;KAUFUNGEN(KASSEL);9.56293;51.29211;0;1;0
SWAP_LOCATION;S34;0;Pöhl-Ruppertsgrün;12.18068;50.57545;0;1;0
SWAP_LOCATION;S35;0;Rudolstadt;11.30709;50.71480;0;1;0
SWAP_LOCATION;S36;0;Dessau-Roßlau;12.22871;51.81807;0;1;0
SWAP_LOCATION;S37;0;Groß Schierstedt;11.52941;51.74888;0;1;0
SWAP_LOCATION;S38;0;Magdeburg;11.64619;52.15771;0;1;0
SWAP_LOCATION;S39;0;Erfurt;11.01098;50.99628;0;1;0
SWAP_LOCATION;S4;0;ZWICKAU;12.48020;50.78598;0;1;0
SWAP_LOCATION;S40;0;Walldorf/Werra;10.38229;50.62021;0;1;0
